hotel_name,street,city,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,overall_ratingsource
ink48 a kimpton hotel,653 11th avenue at 48th,new york city,46,4.76744186,4.418604651,4.627906977,3.558139535,4.11627907,4.297674419
courtyard by marriott new york manhattan upper east side,410 east 92nd street,new york city,92,4.517647059,4.058823529,4.223529412,3.494117647,4.070588235,4.072941176
fairfield inn new york manhattan times square south,330 west 40th street,new york city,53,4.739130435,4.130434783,4.260869565,4,4.565217391,4.339130435
the sherry netherland hotel,781 fifth avenue,new york city,24,4.727272727,4.727272727,4.454545455,4.909090909,4.454545455,4.654545455
millennium un plaza hotel,one united nations plaza,new york city,526,3.970099668,3.983388704,3.996677741,4.179401993,3.996677741,4.025249169
new york marriott downtown,85 west street,new york city,214,4.338028169,4.246478873,4.077464789,3.929577465,4.014084507,4.121126761
the westin new york at times square,270 west 43rd street,new york city,337,4.315614618,4.146179402,3.913621262,4.607973422,3.724252492,4.141528239
fitzpatrick manhattan,687 lexington avenue,new york city,121,4.422535211,4.225352113,4.197183099,4.605633803,4.028169014,4.295774648
roger williams hotel,131 madison avenue,new york city,267,4.549668874,3.940397351,4.38410596,4.357615894,3.834437086,4.213245033
lowell hotel,28 east 63rd street,new york city,37,4.545454545,4.5,4.409090909,4.590909091,3.863636364,4.381818182
the plaza,5th ave at 59th street,new york city,77,4.442857143,4.142857143,4.085714286,4.785714286,3.385714286,4.168571429
hotel 373,373 fifth avenue,new york city,141,4.573770492,3.860655738,4.073770492,4.696721311,3.942622951,4.229508197
crowne plaza times square manhattan,1605 broadway,new york city,351,4.245847176,3.980066445,3.687707641,4.727574751,3.478405316,4.023920266
the alex hotel,205 east 45th street,new york city,231,4.393442623,4.081967213,4.155737705,4.114754098,3.87704918,4.124590164
wall street inn,9 south william street,new york city,59,4.594594595,4.378378378,3.459459459,3.783783784,4,4.043243243
w new york times square,1567 broadway at 47th st,new york city,454,4.062271062,3.776556777,3.875457875,4.604395604,3.402930403,3.944322344
club quarters rockefeller center,25 west 51st street,new york city,98,4.466666667,4,3.933333333,4.813333333,4.12,4.266666667
414 hotel,414 w 46th st,new york city,187,4.073170732,3.987804878,3.914634146,4.646341463,4.268292683,4.17804878
hotel 17,225 east 17th street,new york city,349,4.049450549,3.467032967,3.604395604,4.445054945,4.21978022,3.957142857
the herald square hotel,19 west 31st street,new york city,375,4.281512605,3.915966387,3.768907563,4.537815126,4.163865546,4.133613445
the surrey,20 e. 76th street,new york city,48,3.878787879,3.727272727,4.060606061,4.636363636,3.818181818,4.024242424
novotel new york times square,226 w. 52nd st.,new york city,351,3.976744186,3.634551495,3.810631229,4.817275748,3.810631229,4.009966777
park south hotel,122 east 28th street,new york city,273,4.238410596,3.655629139,3.735099338,4.099337748,3.953642384,3.936423841
the franklin,164 e 87th st,new york city,74,4.710526316,3.789473684,4.473684211,4.052631579,4,4.205263158
millennium hotel broadway,145 w 44th street,new york city,352,3.837209302,3.6910299,3.631229236,4.774086379,3.764119601,3.939534884
greenwich hotel,377 greenwich st.,new york city,21,4.684210526,4.210526316,4.421052632,4.473684211,3.368421053,4.231578947
hilton garden inn tribeca,6 york st,new york city,43,4.487804878,3.951219512,3.902439024,4.195121951,3.780487805,4.063414634
the waldorf astoria,301 park avenue,new york city,345,4.169435216,3.710963455,4.046511628,4.598006645,3.534883721,4.011960133
red roof inn manhattan,6 west 32nd street,new york city,565,4.268707483,4.051020408,3.792517007,4.629251701,4.149659864,4.178231293
70 park avenue hotel a kimpton hotel,70 park avenue,new york city,273,4.335078534,3.916230366,4.209424084,4.486910995,3.890052356,4.167539267
holiday inn nyc manhattan 6th avenue,125 west 26th street,new york city,108,4.425742574,3.623762376,4.099009901,4.217821782,4.00990099,4.075247525
tribeca grand hotel,2 avenue of the americas,new york city,236,4.28030303,4.037878788,4.196969697,4.378787879,3.681818182,4.115151515
holiday inn express nyc madison square garden,232 west 29th street,new york city,240,4.392156863,3.818627451,4.053921569,4.37745098,4.151960784,4.158823529
ace hotel nyc,20 west 29th street,new york city,53,4.306122449,4.020408163,4.183673469,3.959183673,4.06122449,4.106122449
the carlton,88 madison avenue,new york city,374,4.262569832,3.815642458,3.815642458,4.223463687,3.715083799,3.966480447
the gem hotel soho,135 east houston street,new york city,38,4.636363636,3.939393939,4.333333333,4.818181818,4.333333333,4.412121212
comfort inn midtown manhattan,343 44th street,new york city,18,4.666666667,4,4.5,4.777777778,4.444444444,4.477777778
broadway plaza hotel,1155 broadway,new york city,261,4.215384615,4,3.961538462,3.776923077,4.015384615,3.993846154
on the ave hotel,2178 broadway,new york city,487,3.992248062,3.821705426,3.798449612,4.348837209,3.728682171,3.937984496
roger smith hotel,501 lexington avenue,new york city,174,3.985294118,3.75,4.102941176,4.433823529,3.941176471,4.042647059
washington square hotel,103 waverly place,new york city,231,4.070422535,3.591549296,3.845070423,4.633802817,3.873239437,4.002816901
hotel reserve,51 nassau street,new york city,66,4.366666667,3.8,4.05,4.15,4.283333333,4.13
club quarters downtown,52 william street,new york city,184,4.278688525,3.868852459,3.803278689,4.016393443,4.057377049,4.004918033
waldorf towers,100 east 50th street,new york city,70,4.470588235,4.392156863,4.215686275,4.647058824,3.882352941,4.321568627
algonquin hotel,59 w 44th st,new york city,317,4.209039548,3.593220339,3.898305085,4.598870056,3.661016949,3.992090395
west 57th street by hilton club,102 west 57th street,new york city,18,4.875,4.3125,3.8125,4.875,3.5,4.275
chambers hotel,15 w 56th st,new york city,54,4.192307692,3.846153846,4,4.884615385,3.576923077,4.1
ramada eastside,161 lexington avenue,new york city,213,4.114285714,3.752380952,3.647619048,4.295238095,4.133333333,3.988571429
hotel 31,120 east 31 street,new york city,429,4.142857143,3.359307359,3.670995671,4.58008658,4.090909091,3.968831169
holiday inn express new york city fifth ave,15 west 45th street,new york city,200,4.452054795,3.746575342,4.130136986,4.794520548,3.993150685,4.223287671
the marcel at gramercy,201 east 24th street,new york city,304,4.063953488,3.447674419,3.604651163,4,3.476744186,3.718604651
the standard new york,848 washington street,new york city,99,4.544444444,4.144444444,4.133333333,4.733333333,4.088888889,4.328888889
the mark,25 east 77th street,new york city,9,5,5,5,5,5,5
cosmopolitan hotel tribeca,95 west broadway,new york city,454,4.473684211,3.697368421,3.802631579,4.399122807,4.127192982,4.1
belleclaire hotel,250 west 77th street,new york city,481,4.039007092,3.726950355,3.879432624,4.343971631,3.985815603,3.995035461
hotel east houston,151 east houston street,new york city,32,4.516129032,3.483870968,4.096774194,4.451612903,3.709677419,4.051612903
the mave,62 madison ave,new york city,53,4.604166667,3.75,4.479166667,4.4375,3.979166667,4.25
the helmsley park lane,36 central park south,new york city,279,3.725,3.38125,3.63125,4.83125,3.43125,3.8
thompson les,190 allen street,new york city,88,4.297619048,3.976190476,3.80952381,4.297619048,3.880952381,4.052380952
clarion collection the solita soho hotel,159 grand street,new york city,98,4.157894737,3.649122807,3.754385965,4.438596491,3.754385965,3.950877193
the milburn hotel,242 west 76th street,new york city,198,3.918367347,3.826530612,3.948979592,4.612244898,4.285714286,4.118367347
hotel stanford,43 west 32nd street,new york city,259,3.967532468,3.558441558,3.746753247,4.714285714,4,3.997402597
soho house new york,29-35 9th avenue,new york city,39,4.608695652,4.565217391,4.086956522,4.565217391,3.956521739,4.356521739
the pierre,fifth avenue at 61st street,new york city,64,4.709677419,4.258064516,4.387096774,4.838709677,3.903225806,4.419354839
vincci avalon,16 east 32nd street,new york city,426,4.023255814,3.813953488,3.604651163,4.401162791,3.662790698,3.901162791
the carlyle a rosewood hotel,35 east 76th street,new york city,75,4.341463415,3.731707317,4.048780488,4.268292683,3.365853659,3.951219512
6 columbus,6 columbus circle,new york city,125,4.371428571,3.838095238,4.276190476,4.742857143,4.028571429,4.251428571
the maritime hotel,363 west 16th street,new york city,76,4.583333333,4.194444444,4.194444444,4.611111111,4.055555556,4.327777778
bentley hotel,500 east 62nd street,new york city,393,4.178082192,3.881278539,3.780821918,3.447488584,3.835616438,3.824657534
the sylvan guest house,12 sylvan terrace,new york city,11,4.3,4,3.9,4,4.2,4.08
hilton club new york,1335 avenue of the americas,new york city,10,4.6,4.4,4.8,4.9,3.6,4.46
hampton inn manhattan times square south,337 west 39th street,new york city,25,4.56,4,3.88,3.84,3.8,4.016
comfort inn manhattan bridge,61-63 chrystie street,new york city,21,4.5,3.95,3.6,3.8,4.6,4.09
new york marriott east side,525 lexington avenue,new york city,239,4.207407407,3.851851852,3.874074074,4.392592593,3.555555556,3.976296296
w new york the tuscany,120 east 39th street,new york city,127,4.014285714,3.971428571,3.971428571,4.342857143,3.628571429,3.985714286
grand hyatt new york,109 east 42nd street,new york city,335,3.900332226,3.541528239,3.787375415,4.747508306,3.568106312,3.9089701
night hotel,132 west 45th street,new york city,230,4.038461538,3.648351648,3.835164835,4.648351648,3.554945055,3.945054945
buckingham hotel,101 w 57th st at 6th ave,new york city,181,3.72815534,3.54368932,3.72815534,4.611650485,3.737864078,3.869902913
excelsior hotel,45 west 81st street,new york city,329,4.145833333,3.817708333,3.447916667,4.53125,3.854166667,3.959375
60 thompson,60 thompson street,new york city,168,4.219512195,3.634146341,3.975609756,4.634146341,3.37804878,3.968292683
the gem hotel chelsea,300 w 22nd st,new york city,42,4.421052632,3.5,4.026315789,4.473684211,4.184210526,4.121052632
lafayette house,38 east 4th street,new york city,10,4.222222222,4.444444444,4,4.777777778,4,4.288888889
hotel grand union,34 east 32nd street,new york city,330,4.035714286,3.505952381,3.696428571,4.595238095,4.029761905,3.972619048
seafarers international house,123 e. 15th st.,new york city,30,3.473684211,3.473684211,3.578947368,4.684210526,4.315789474,3.905263158
le parker meridien,118 west 57th street,new york city,580,3.96345515,3.601328904,3.664451827,4.49833887,3.401993355,3.825913621
hilton new york,1335 avenue of the americas,new york city,337,4.093023256,3.873754153,3.548172757,4.674418605,3.448504983,3.927574751
cooper square hotel,25 cooper square,new york city,51,4.434782609,3.782608696,3.782608696,4.565217391,3.565217391,4.026086957
skyline hotel,725 10th avenue,new york city,371,3.928571429,3.791208791,3.461538462,3.928571429,3.730769231,3.768131868
renaissance new york hotel 57,130 e 57th st,new york city,49,4.255319149,3.617021277,3.659574468,4.531914894,3.574468085,3.927659574
radisson martinique on broadway,49 west 32nd street,new york city,357,3.698198198,3.373873874,3.355855856,4.468468468,3.369369369,3.653153153
bedford hotel,118 east 40th street,new york city,231,3.810810811,3.63963964,3.765765766,4.63963964,3.846846847,3.940540541
travel inn hotel new york,515 w 42nd st,new york city,394,3.957219251,3.593582888,3.454545455,4.240641711,3.994652406,3.848128342
the roosevelt hotel,madison ave at 45th st,new york city,347,3.634551495,3.222591362,3.279069767,4.641196013,3.508305648,3.657142857
murray hill east suites,149 east 39th street,new york city,216,4.027027027,3.801801802,3.612612613,4.45045045,4.153153153,4.009009009
stay,157 west 47 street,new york city,138,3.92248062,3.023255814,3.310077519,4.658914729,3.356589147,3.654263566
gramercy park hotel,2 lexington avenue,new york city,128,4.155963303,3.844036697,3.596330275,4.229357798,3.201834862,3.805504587
intercontinental the barclay new york,111 east 48th street,new york city,344,4.059800664,3.664451827,3.651162791,4.445182724,3.637873754,3.891694352
the shoreham,33 west 55th street,new york city,210,4.118644068,3.627118644,3.533898305,4.466101695,3.576271186,3.86440678
hotel indigo new york city chelsea,127 west 28th street,new york city,6,4.5,3.833333333,3.333333333,4,3.666666667,3.866666667
hotel on rivington,107 rivington st,new york city,201,4.083969466,4.190839695,3.832061069,4.251908397,3.557251908,3.983206107
tudor hotel at the united nations,304 e 42nd st,new york city,272,3.851190476,3.547619048,3.601190476,4.083333333,3.732142857,3.763095238
washington jefferson hotel,318 west 51st street,new york city,254,4.188405797,3.217391304,3.826086957,4.52173913,3.666666667,3.884057971
plaza athenee hotel,37 e 64th st at madison ave,new york city,51,4.433333333,3.8,4.133333333,4.333333333,3.5,4.04
comfort inn times square,305 w 39th st,new york city,108,4.222222222,3.888888889,4.077777778,4.288888889,3.944444444,4.084444444
beekman tower hotel,3 mitchell place,new york city,259,3.513157895,3.368421053,3.618421053,3.861842105,3.664473684,3.605263158
holiday inn express new york city times square,343 west 39th street,new york city,31,4.148148148,3.62962963,3.555555556,4.37037037,3.814814815,3.903703704
comfort inn chelsea,18 west 25th street,new york city,154,4.101694915,3.661016949,3.661016949,4.237288136,3.915254237,3.915254237
phillips club,155 west 66th street,new york city,12,4.5,4.5,4.5,5,4,4.5
hotel deauville,103 east 29th street,new york city,133,3.960526316,3.355263158,4.105263158,4.407894737,4.039473684,3.973684211
sheraton new york hotel towers,811 7th avenue on 53rd street,new york city,320,3.627906977,3.348837209,3.737541528,4.727574751,3.57807309,3.803986711
wolcott hotel,4 west 31st street,new york city,342,3.729064039,3.408866995,3.472906404,4.512315271,3.862068966,3.797044335
courtyard new york manhattan fifth avenue,3 east 40th street,new york city,131,4.271428571,3.614285714,4.085714286,4.585714286,3.742857143,4.06
four points by sheraton midtown times square,326 west 40th street,new york city,67,4.35,3.9,3.65,3.433333333,4.1,3.886666667
park central,870 seventh avenue at 56th street,new york city,345,3.46179402,3.245847176,3.132890365,4.571428571,3.375415282,3.557475083
the mansfield,12 west 44th street,new york city,267,4.064285714,3.364285714,4.035714286,4.635714286,3.671428571,3.954285714
loews regency hotel,540 park ave,new york city,129,4.042253521,3.887323944,3.971830986,4.478873239,3.563380282,3.988732394
off soho suites,11 rivington street,new york city,52,3.5,3.214285714,3.642857143,3.964285714,3.678571429,3.6
the premier,133 w 44th st,new york city,13,4.625,4.625,4.5,4.25,4.5,4.5
the hotel 91,91 e broadway,new york city,65,4.355932203,3.644067797,3.796610169,3.254237288,4,3.810169492
hotel st james,109 west 45th street,new york city,465,3.568965517,3,3.327586207,4.748275862,3.817241379,3.692413793
park 79 hotel,117 west 79th street,new york city,269,3.971428571,3.292857143,3.692857143,4.342857143,3.785714286,3.817142857
the lombardy,111 east 56th street,new york city,19,4.166666667,4,3.333333333,4.416666667,3.75,3.933333333
the inn at irving place,56 irving place,new york city,21,4.375,4.25,4.375,4.75,3.5,4.25
the time,224 west 49th street,new york city,389,3.766666667,3.419047619,3.519047619,4.59047619,3.533333333,3.765714286
3 west club,3 west 51st st,new york city,8,4.428571429,4.428571429,4.428571429,5,4.714285714,4.6
the grant hotel,306 w 94th st,new york city,40,3.173913043,3.043478261,3.217391304,3.47826087,3.47826087,3.27826087
hotel gansevoort,18 9th avenue,new york city,313,4.289017341,4.092485549,3.705202312,4.50867052,3.439306358,4.006936416
americana inn,69 west 38th street,new york city,242,3.913385827,3.299212598,3.62992126,4.669291339,3.952755906,3.892913386
w new york union square,201 park avenue south,new york city,166,4.075471698,3.877358491,3.924528302,4.471698113,3.273584906,3.924528302
doubletree hotel chelsea new york city,128 west 29th street,new york city,42,4.432432432,3.594594595,3.810810811,3.783783784,3.702702703,3.864864865
chelsea savoy hotel,204 west 23rd street,new york city,92,4.125,3.803571429,3.714285714,4.625,3.928571429,4.039285714
da vinci hotel,244 west 56th street,new york city,136,3.976744186,3.418604651,3.744186047,4.709302326,3.976744186,3.965116279
best western seaport inn downtown,33 peck slip,new york city,73,3.923076923,3.743589744,3.538461538,4.333333333,3.974358974,3.902564103
doubletree metropolitan hotel,569 lexington avenue at east 51st street,new york city,368,3.684385382,3.395348837,3.644518272,4.438538206,3.451827243,3.722923588
soho grand hotel,310 west broadway,new york city,412,3.870967742,3.309677419,3.541935484,4.406451613,3.025806452,3.630967742
four points by sheraton manhattan chelsea,160 west 25th st.,new york city,227,3.876923077,3.423076923,3.6,4.030769231,3.538461538,3.693846154
club quarters midtown,40 west 45th street,new york city,155,3.868131868,3.340659341,3.175824176,4.571428571,3.56043956,3.703296703
hotel 99,244 west 99th street,new york city,12,3.9,3.7,3.5,3.7,4,3.76
duane street hotel,130 duane street,new york city,44,4.333333333,4.027777778,3.75,4.277777778,3.611111111,4
w new york the court,130 east 39th street,new york city,168,3.738738739,3.558558559,3.585585586,4.054054054,3.414414414,3.67027027
dream,210 west 55th street,new york city,326,4.01744186,3.38372093,3.558139535,4.48255814,3.26744186,3.741860465
econo lodge times square,302 west 47th street,new york city,151,4.009174312,3.155963303,3.825688073,4.651376147,3.935779817,3.91559633
the manhattan club,200 west 56th street,new york city,149,3.978021978,3.626373626,3.307692308,4.703296703,3.527472527,3.828571429
comfort inn manhattan,42 west 35th street,new york city,303,3.666666667,3.406666667,3.76,4.7,3.806666667,3.868
wellington hotel,871 7th ave at w 55th st,new york city,341,3.65448505,3.109634551,3.651162791,4.77076412,3.784053156,3.794019934
embassy suites secaucus medowlands hotel new york,455 plaza drive,new york city,3,4.333333333,4.333333333,4.333333333,4.333333333,4.666666667,4.4
flatotel,135 west 52nd street,new york city,202,3.619469027,3.557522124,3.469026549,4.619469027,3.530973451,3.759292035
moderne hotel,243 west 55th street,new york city,146,3.623188406,3.260869565,3.376811594,4.434782609,3.608695652,3.660869565
murray hill inn,143 east 30th street,new york city,159,4.090909091,3.443181818,3.625,4.363636364,3.977272727,3.9
thirty thirty hotel,30 east 30th street,new york city,362,3.53820598,3.07641196,3.182724252,4.189368771,3.355481728,3.468438538
best western convention center hotel,522 west 38th street,new york city,119,3.706666667,2.973333333,3.373333333,2.72,3.253333333,3.205333333
holiday inn midtown 57th st,440 west 57th street,new york city,498,3.508305648,3.289036545,3.418604651,4.046511628,3.6910299,3.590697674
comfort inn midtown west convention center,442 w 36th st,new york city,81,3.64516129,3.35483871,3.612903226,3.935483871,3.709677419,3.651612903
helmsley middletowne hotel,148 e. 48th st.,new york city,208,3.394495413,3.293577982,3.642201835,4.229357798,3.52293578,3.616513761
marriott financial center,85 west street,new york city,1,5,5,4,4,4,4.4
